task_id,spec_id,start,end,subjects,periods,clust_per_seq,total_subjects,WPICC,CAC,theta
106,43,901,1000,100,9,2,14400,0.05,0.8,0
107,44,1,100,100,9,2,14400,0.1,0.8,0
108,44,101,200,100,9,2,14400,0.1,0.8,0
109,44,201,300,100,9,2,14400,0.1,0.8,0
110,44,301,400,100,9,2,14400,0.1,0.8,0
111,44,401,500,100,9,2,14400,0.1,0.8,0
112,44,501,600,100,9,2,14400,0.1,0.8,0
113,44,601,700,100,9,2,14400,0.1,0.8,0
114,44,701,800,100,9,2,14400,0.1,0.8,0
115,44,801,900,100,9,2,14400,0.1,0.8,0
116,44,901,1000,100,9,2,14400,0.1,0.8,0
117,45,1,100,100,9,5,36000,0.05,1,0
118,45,101,200,100,9,5,36000,0.05,1,0
119,45,201,300,100,9,5,36000,0.05,1,0
120,45,301,400,100,9,5,36000,0.05,1,0
121,45,401,500,100,9,5,36000,0.05,1,0
122,45,501,600,100,9,5,36000,0.05,1,0
123,45,601,700,100,9,5,36000,0.05,1,0
124,45,701,800,100,9,5,36000,0.05,1,0
125,45,801,900,100,9,5,36000,0.05,1,0
126,45,901,1000,100,9,5,36000,0.05,1,0
127,46,1,100,100,9,5,36000,0.1,1,0
128,46,101,200,100,9,5,36000,0.1,1,0
129,46,201,300,100,9,5,36000,0.1,1,0
130,46,301,400,100,9,5,36000,0.1,1,0
131,46,401,500,100,9,5,36000,0.1,1,0
132,46,501,600,100,9,5,36000,0.1,1,0
133,46,601,700,100,9,5,36000,0.1,1,0
134,46,701,800,100,9,5,36000,0.1,1,0
135,46,801,900,100,9,5,36000,0.1,1,0
136,46,901,1000,100,9,5,36000,0.1,1,0
137,47,1,100,100,9,5,36000,0.05,0.8,0
138,47,101,200,100,9,5,36000,0.05,0.8,0
139,47,201,300,100,9,5,36000,0.05,0.8,0
140,47,301,400,100,9,5,36000,0.05,0.8,0
141,47,401,500,100,9,5,36000,0.05,0.8,0
142,47,501,600,100,9,5,36000,0.05,0.8,0
143,47,601,700,100,9,5,36000,0.05,0.8,0
144,47,701,800,100,9,5,36000,0.05,0.8,0
145,47,801,900,100,9,5,36000,0.05,0.8,0
146,47,901,1000,100,9,5,36000,0.05,0.8,0
147,48,1,100,100,9,5,36000,0.1,0.8,0
148,48,101,200,100,9,5,36000,0.1,0.8,0
149,48,201,300,100,9,5,36000,0.1,0.8,0
150,48,301,400,100,9,5,36000,0.1,0.8,0
151,48,401,500,100,9,5,36000,0.1,0.8,0
152,48,501,600,100,9,5,36000,0.1,0.8,0
153,48,601,700,100,9,5,36000,0.1,0.8,0
154,48,701,800,100,9,5,36000,0.1,0.8,0
155,48,801,900,100,9,5,36000,0.1,0.8,0
156,48,901,1000,100,9,5,36000,0.1,0.8,0
